iban,amount,date
IS65NOOT7036669168746884,"€8648,33",11/03/2022
RW16JLAK0388910387065777,"€4314,01",26/07/2020
LG40BJYQ2783542351843180,"€1852,62",15/12/2021
WO71OALR7349870387403646,"€789,23",02/01/2020
HY36LHZR3643502386939455,"€606,18",07/06/2020
IS65NOOT7036669168746884,"€2674,97",06/01/2021
ZA10QTHR7787100159561975,"€8056,83",13/06/2022
NV11IYUJ0247872457522336,"€7728,22",27/01/2021
ZX06NZJH0310079067754103,"€7833,00",06/09/2021
TQ42FQGK7504668908121082,"€8504,52",12/12/2020
YK16DWHC2525181133357675,"€3644,92",09/03/2021
GE38QKDI3669855462568638,"€5058,73",05/06/2021
ZT15HFSW6569840988100756,"€7769,43",21/03/2021
ZT15HFSW6569840988100756,"€5672,23",25/02/2022
GE38QKDI3669855462568638,"€8657,95",29/01/2022
TJ01RJYX8915131919658516,"€8195,25",22/10/2022
SE06PMBI1724666946267952,"€5467,09",11/01/2020
ZI40WWBF9188737626049510,"€4520,05",30/03/2022
ZT15HFSW6569840988100756,"€1332,89",15/08/2022
TJ01RJYX8915131919658516,"€9497,55",15/01/2022
KX21COEK1555182209833532,"€70,59",26/08/2022
MB71QQXT2596515408023571,"€6775,53",06/09/2022
IB64RWDI3050423740546318,"€622,10",11/07/2021
IX63EVCR9164658456456181,"€3951,71",26/07/2021
ZA10QTHR7787100159561975,"€7585,56",08/02/2021
TQ42FQGK7504668908121082,"€1596,25",05/07/2021
IX63EVCR9164658456456181,"€794,13",17/09/2022
DA04GCZV4378609746146065,"€7288,71",21/12/2020
HY94UFSX0766276800103780,"€7438,42",03/01/2021
FU57KYSJ7187405817063989,"€6280,31",21/08/2022
GE38QKDI3669855462568638,"€4122,52",03/08/2021
CP93PHOD1189664902815922,"€5965,04",23/10/2022
KR77UJZD7132263261730708,"€6980,44",13/01/2020
LP57GXIN3056172558480196,"€5097,11",08/12/2020
CR31CSLX2157111958475792,"€3747,35",07/08/2020
HJ81JUWR1495896049004272,"€7792,08",01/02/2022
SQ68TMZF8698667528323620,"€3884,34",24/10/2020
RO78OROD0594985604344531,"€6839,52",08/08/2021
UN01NSQD8758182264641524,"€3941,01",09/08/2021
QT17CEZY5756286371227346,"€8178,20",05/09/2020
WB77IWTL7479335717337104,"€5668,09",03/04/2021
LG40BJYQ2783542351843180,"€1750,57",01/07/2020
XA28NAIG6798026498738774,"€2004,70",07/10/2020
ZJ12DKWM9070280471180140,"€8075,04",15/05/2021
PG29ITFN6814697311412996,"€6515,24",12/10/2021
DE70AHRX6356064073233659,"€1303,31",14/09/2020
XA28NAIG6798026498738774,"€6639,74",09/01/2020
KC15SUGY3023429585614326,"€3451,99",31/12/2020
ZJ12DKWM9070280471180140,"€9154,95",02/04/2021
EV55TMCH8919184385596396,"€2575,87",08/10/2021
SM44WYFN9387020646075746,"€5137,28",13/03/2022
XI25KPTM6042498694249300,"€2933,07",14/04/2020
LQ72NGWI2810989838856681,"€2898,43",25/07/2020
XT25GEWA7881352979972952,"€7659,88",31/03/2022
KL92DVFG3211071211689811,"€9982,56",03/11/2021
WY43SADC8995874367768131,"€3963,67",11/01/2021
HX66TEDY9432557008721813,"€6693,64",02/02/2021
WJ40UIUQ2618112143886576,"€5372,22",05/10/2020
HF37RMOJ8246383870328745,"€4440,85",11/08/2022
LH44PEZY4533729364383296,"€9475,09",26/05/2022
EU56HOYA8868219525668712,"€2999,17",02/12/2021
LU00QWLD2601460964897893,"€8031,53",13/10/2021
ZR23USPZ4041172964291836,"€4377,40",09/01/2020
ZX06NZJH0310079067754103,"€2336,07",25/10/2022
HY36LHZR3643502386939455,"€3997,34",08/05/2020
UN01NSQD8758182264641524,"€9213,76",12/01/2022
TJ01RJYX8915131919658516,"€9132,37",01/10/2021
BP29TPUJ6310621823872564,"€4430,34",09/05/2022
ZR23USPZ4041172964291836,"€777,26",26/03/2021
XT25GEWA7881352979972952,"€6323,32",10/11/2022
SQ68TMZF8698667528323620,"€2148,08",29/01/2022
JL39VSWB6759168364148560,"€8007,08",16/05/2021
RO78OROD0594985604344531,"€6667,16",26/07/2022
VA37QMCG8437852428929762,"€8449,64",01/11/2022
DC32IFVW1036082114231444,"€398,46",27/08/2021
PE04NCIT8887865280077429,"€4434,79",15/03/2021
UG76HDRU1828246465536511,"€4521,75",01/04/2021
HY36LHZR3643502386939455,"€2679,25",19/05/2022
ZT15HFSW6569840988100756,"€1592,43",01/05/2022
CP93PHOD1189664902815922,"€8973,41",03/12/2022
SQ68TMZF8698667528323620,"€332,81",26/08/2020
UQ09JZFW3099511194281460,"€549,31",18/09/2020
WJ40UIUQ2618112143886576,"€7034,38",26/09/2020
WJ40UIUQ2618112143886576,"€2414,58",28/12/2021
HF37RMOJ8246383870328745,"€9067,15",18/11/2020
ZX06NZJH0310079067754103,"€7737,87",24/12/2022
PH94XAOK3381728775018070,"€2081,64",31/10/2020
ND29ASZK3936747590760083,"€9242,31",27/10/2022
EH78AMHE9066831125295114,"€6550,67",02/12/2020
FU57KYSJ7187405817063989,"€8741,97",12/02/2020
ZJ12DKWM9070280471180140,"€3843,04",15/05/2021
CR31CSLX2157111958475792,"€1768,53",30/04/2020
MW63ZIOO0588568130697102,"€2781,03",27/02/2021
SM44WYFN9387020646075746,"€1398,86",23/03/2022
LP57GXIN3056172558480196,"€3392,89",12/06/2020
EU56HOYA8868219525668712,"€9584,44",21/03/2022
KC15SUGY3023429585614326,"€1896,17",23/09/2020
HY94UFSX0766276800103780,"€9795,68",23/08/2021
SE06PMBI1724666946267952,"€3058,76",19/12/2022
IA64AZRF0974124059119540,"€6207,95",13/07/2022
RB96QOGG9814514798263406,"€8705,82",09/04/2021
WB77IWTL7479335717337104,"€4341,24",24/10/2021
UG76HDRU1828246465536511,"€9485,16",30/12/2022
PH94XAOK3381728775018070,"€5912,82",08/05/2021
WG55EHPY8034430200816222,"€1085,12",05/01/2022
XI25KPTM6042498694249300,"€3533,25",01/03/2021
MG63MBOA0937923648077673,"€6545,29",06/12/2022
HY36LHZR3643502386939455,"€5782,55",30/10/2022
DK16NRGZ3074443210958974,"€877,09",05/01/2021
ZT15HFSW6569840988100756,"€2379,18",22/07/2022
EQ89KOZE1588776990762580,"€7436,40",26/05/2022
MU67FMKH9598284189685918,"€4809,87",14/07/2020
EQ89KOZE1588776990762580,"€5834,54",04/08/2021
GE38QKDI3669855462568638,"€9786,47",17/11/2020
DK16NRGZ3074443210958974,"€5264,49",15/07/2020
DE30ZEUF5582227351032491,"€8373,67",22/08/2021
MU67FMKH9598284189685918,"€7109,32",17/04/2021
KC15SUGY3023429585614326,"€7090,34",22/04/2020
MG63MBOA0937923648077673,"€6828,66",02/01/2021
MU67FMKH9598284189685918,"€8942,19",22/03/2021
KX21COEK1555182209833532,"€8202,39",25/02/2021
DE70AHRX6356064073233659,"€98,24",25/05/2022
QT17CEZY5756286371227346,"€9028,17",26/02/2020
TJ01RJYX8915131919658516,"€7670,61",03/11/2020
IS65NOOT7036669168746884,"€7332,73",09/09/2020
JL39VSWB6759168364148560,"€7313,57",07/02/2022
EH78AMHE9066831125295114,"€1628,96",30/04/2020
EU56HOYA8868219525668712,"€4451,42",03/07/2021
DC32IFVW1036082114231444,"€1630,61",15/01/2022
MW63ZIOO0588568130697102,"€2715,08",22/02/2022
UN01NSQD8758182264641524,"€9878,77",06/04/2022
XA28NAIG6798026498738774,"€3222,47",17/10/2022
HX66TEDY9432557008721813,"€5532,95",29/09/2021
SQ68TMZF8698667528323620,"€3849,83",22/09/2022
PG29ITFN6814697311412996,"€2574,33",10/01/2022
QT17CEZY5756286371227346,"€6992,07",03/05/2021
FW13CYSE4571296548592389,"€6598,44",22/03/2020
RB96QOGG9814514798263406,"€971,51",14/04/2022
KC15SUGY3023429585614326,"€7679,10",09/08/2020
IX63EVCR9164658456456181,"€1493,10",13/07/2020
TJ01RJYX8915131919658516,"€3692,26",11/12/2022
ZJ12DKWM9070280471180140,"€4218,65",11/12/2021
SE06PMBI1724666946267952,"€5975,53",28/10/2022
LH44PEZY4533729364383296,"€723,14",07/11/2022
PE04NCIT8887865280077429,"€2206,01",27/06/2022
TJ01RJYX8915131919658516,"€4080,21",24/10/2020
EH78AMHE9066831125295114,"€3253,80",12/04/2022
JL39VSWB6759168364148560,"€8574,51",26/01/2021
PH94XAOK3381728775018070,"€9963,85",27/07/2021
RJ92VCJA0240979129986579,"€3131,32",23/08/2020
IS65NOOT7036669168746884,"€1855,09",23/09/2020
TQ42FQGK7504668908121082,"€9428,23",24/12/2021
MB71QQXT2596515408023571,"€1627,74",16/05/2022
IB64RWDI3050423740546318,"€7360,23",13/02/2022
LQ72NGWI2810989838856681,"€4362,11",07/03/2021
IS66KDVL6727524589966948,"€6753,76",05/09/2021
UG76HDRU1828246465536511,"€7737,60",20/02/2020
FU57KYSJ7187405817063989,"€6754,77",21/09/2020
MW63ZIOO0588568130697102,"€9166,51",08/04/2020
XI25KPTM6042498694249300,"€4339,87",13/07/2021
DK16NRGZ3074443210958974,"€4891,65",17/01/2020
MU67FMKH9598284189685918,"€5950,98",14/12/2021
RB96QOGG9814514798263406,"€8917,49",03/04/2022
SQ68TMZF8698667528323620,"€7976,52",06/06/2020
RB96QOGG9814514798263406,"€6596,01",04/12/2020
DA04GCZV4378609746146065,"€9038,69",09/08/2020
CP93PHOD1189664902815922,"€2678,54",18/04/2021
LH44PEZY4533729364383296,"€2640,47",24/08/2022
RW16JLAK0388910387065777,"€3399,97",14/12/2021
DA04GCZV4378609746146065,"€3407,70",02/12/2021
XW12RCHV9007093543843453,"€6437,66",18/12/2020
XT25GEWA7881352979972952,"€1996,27",05/09/2021
VA37QMCG8437852428929762,"€9581,27",29/06/2020
LH44PEZY4533729364383296,"€1233,77",03/05/2022
DE30ZEUF5582227351032491,"€8335,30",16/12/2020
EH78AMHE9066831125295114,"€1900,64",30/11/2022
EQ89KOZE1588776990762580,"€1121,67",09/03/2020
UN01NSQD8758182264641524,"€6868,85",06/01/2022
PH94XAOK3381728775018070,"€6668,39",24/11/2022
CP93PHOD1189664902815922,"€5617,83",01/10/2021
RB96QOGG9814514798263406,"€1793,35",28/03/2022
LU00QWLD2601460964897893,"€1115,99",11/04/2021
MG00YLSI7343127168356658,"€5439,86",20/06/2022
QT17CEZY5756286371227346,"€3424,52",10/02/2021
NV11IYUJ0247872457522336,"€9142,43",16/03/2020
BP29TPUJ6310621823872564,"€8543,01",10/04/2020
IS65NOOT7036669168746884,"€9994,87",02/07/2021
IA64AZRF0974124059119540,"€6554,15",08/09/2022
PD23WILD1239964726634228,"€6667,87",08/08/2021
PE04NCIT8887865280077429,"€8978,11",15/08/2022
DE70AHRX6356064073233659,"€6588,57",23/12/2020
EQ89KOZE1588776990762580,"€7446,11",20/02/2022
PG29ITFN6814697311412996,"€8494,93",22/03/2021
EQ89KOZE1588776990762580,"€6959,04",15/07/2020
IS65NOOT7036669168746884,"€8341,43",30/07/2021
UG76HDRU1828246465536511,"€7348,35",21/04/2022
GE52XFEW2209056170643350,"€610,02",01/05/2022
JD37GEUH5940847826443166,"€3969,69",28/11/2020
DA04GCZV4378609746146065,"€2899,13",10/12/2021
TQ42FQGK7504668908121082,"€6162,78",09/04/2022
EV55TMCH8919184385596396,"€8327,72",15/10/2022
MG00YLSI7343127168356658,"€7161,13",17/03/2022
MG00YLSI7343127168356658,"€2948,65",14/06/2021
KR77UJZD7132263261730708,"€6167,18",25/03/2020
MW63ZIOO0588568130697102,"€167,93",25/04/2021
WO71OALR7349870387403646,"€6069,88",11/08/2022
GE52XFEW2209056170643350,"€6661,24",19/11/2021
OC06NIHQ3445682540896305,"€1818,76",28/07/2020
LH44PEZY4533729364383296,"€7630,52",06/07/2022
WJ40UIUQ2618112143886576,"€2200,60",24/01/2022
UG76HDRU1828246465536511,"€6984,81",10/02/2020
KL92DVFG3211071211689811,"€6184,51",03/05/2022
ZX06NZJH0310079067754103,"€4132,64",02/05/2020
LH44PEZY4533729364383296,"€8827,48",25/12/2020
FW13CYSE4571296548592389,"€4370,79",28/02/2020
ZI40WWBF9188737626049510,"€9446,32",29/10/2022
HY36LHZR3643502386939455,"€1385,39",14/11/2020
YK16DWHC2525181133357675,"€1533,56",19/09/2022
PD23WILD1239964726634228,"€209,74",11/08/2022
ZT15HFSW6569840988100756,"€1253,92",01/05/2022
GJ55FOHC5561545662515367,"€1046,51",24/09/2021
UN01NSQD8758182264641524,"€780,85",15/07/2020
WY43SADC8995874367768131,"€3455,68",13/10/2022
CY23HMWJ3638338954966778,"€3884,06",17/07/2020
ZI40WWBF9188737626049510,"€4985,46",28/03/2021
RO78OROD0594985604344531,"€4947,97",29/04/2020
JL39VSWB6759168364148560,"€1865,88",21/06/2022
PD23WILD1239964726634228,"€6698,29",23/06/2021
XA28NAIG6798026498738774,"€5182,48",01/04/2021
DE30ZEUF5582227351032491,"€890,83",03/03/2021
FW13CYSE4571296548592389,"€6644,34",12/07/2021
DC32IFVW1036082114231444,"€7589,40",24/12/2020
UL87SMJY0995132841158778,"€4596,95",26/11/2022
NV11IYUJ0247872457522336,"€3277,34",05/12/2022
SE06PMBI1724666946267952,"€4270,04",29/08/2021
RW16JLAK0388910387065777,"€712,25",22/04/2021
KL92DVFG3211071211689811,"€3249,73",11/07/2020
DC32IFVW1036082114231444,"€8303,60",10/10/2022
MB71QQXT2596515408023571,"€4497,19",17/07/2020
KR77UJZD7132263261730708,"€7555,38",20/12/2020
IS66KDVL6727524589966948,"€2932,11",10/05/2020
UL87SMJY0995132841158778,"€9970,85",19/03/2020
ZR23USPZ4041172964291836,"€7856,91",31/03/2021
YK16DWHC2525181133357675,"€522,01",08/11/2021
FU57KYSJ7187405817063989,"€3148,11",14/03/2022
LQ72NGWI2810989838856681,"€2183,24",07/02/2022
KL92DVFG3211071211689811,"€4061,80",29/03/2022
ZX06NZJH0310079067754103,"€5249,75",01/08/2022
SQ68TMZF8698667528323620,"€5215,18",24/06/2020
TQ42FQGK7504668908121082,"€6994,60",15/04/2020
ZA10QTHR7787100159561975,"€4944,64",27/06/2021
EV55TMCH8919184385596396,"€98,67",10/01/2022
KX21COEK1555182209833532,"€9353,79",18/12/2021
KX21COEK1555182209833532,"€1348,75",04/06/2022
WG55EHPY8034430200816222,"€1245,70",18/07/2021
XA28NAIG6798026498738774,"€2593,91",12/03/2022
CP93PHOD1189664902815922,"€7668,33",02/02/2020
OC06NIHQ3445682540896305,"€9675,85",05/05/2020
IA64AZRF0974124059119540,"€1408,55",18/11/2022
TQ42FQGK7504668908121082,"€9330,73",10/08/2021
JL39VSWB6759168364148560,"€783,71",18/10/2021
RW16JLAK0388910387065777,"€8784,40",01/09/2020
JL39VSWB6759168364148560,"€1144,38",10/02/2021
BP29TPUJ6310621823872564,"€2655,05",13/07/2022
IS66KDVL6727524589966948,"€1147,95",02/08/2020
JL39VSWB6759168364148560,"€6714,24",11/04/2020
WB77IWTL7479335717337104,"€9211,20",13/05/2021
XA28NAIG6798026498738774,"€9342,11",14/12/2020
BP29TPUJ6310621823872564,"€6619,37",22/06/2020
PD23WILD1239964726634228,"€5444,27",28/11/2020
ZI40WWBF9188737626049510,"€2819,44",02/09/2021
XA28NAIG6798026498738774,"€9149,69",04/01/2021
ZJ12DKWM9070280471180140,"€9556,82",03/09/2021
WY43SADC8995874367768131,"€3077,16",24/07/2021
GE38QKDI3669855462568638,"€6597,76",01/03/2020
KC15SUGY3023429585614326,"€5891,46",05/01/2022
GE38QKDI3669855462568638,"€7222,38",14/05/2020
EV55TMCH8919184385596396,"€2402,20",13/04/2020
TJ01RJYX8915131919658516,"€7439,45",08/04/2022
BP29TPUJ6310621823872564,"€7331,63",05/09/2022
KX21COEK1555182209833532,"€9677,14",01/09/2021
HF37RMOJ8246383870328745,"€5779,41",20/12/2022
TJ01RJYX8915131919658516,"€8439,51",30/09/2022
CP93PHOD1189664902815922,"€9296,66",21/06/2021
RW16JLAK0388910387065777,"€5652,33",06/04/2022
PD23WILD1239964726634228,"€3411,54",09/11/2021
MU67FMKH9598284189685918,"€7392,36",16/06/2022
OC06NIHQ3445682540896305,"€9069,00",11/09/2020
LP57GXIN3056172558480196,"€1836,52",07/06/2022
XW12RCHV9007093543843453,"€8283,54",05/10/2022
UL87SMJY0995132841158778,"€8059,29",13/01/2020
XT25GEWA7881352979972952,"€8279,45",19/11/2021
ZA10QTHR7787100159561975,"€3467,71",03/07/2021
JL39VSWB6759168364148560,"€5990,15",25/01/2021
XT25GEWA7881352979972952,"€6286,85",01/08/2021
TJ01RJYX8915131919658516,"€8406,56",19/08/2021
ZJ12DKWM9070280471180140,"€250,63",24/07/2021
IX63EVCR9164658456456181,"€3929,31",03/07/2020
ND29ASZK3936747590760083,"€5848,47",08/06/2022
KR77UJZD7132263261730708,"€4772,95",14/11/2021
JL39VSWB6759168364148560,"€3972,73",28/09/2020
LU00QWLD2601460964897893,"€7005,96",15/09/2022
ZA10QTHR7787100159561975,"€2652,70",21/02/2020
ZJ12DKWM9070280471180140,"€8015,76",26/08/2021
MU67FMKH9598284189685918,"€870,57",08/06/2020
WJ40UIUQ2618112143886576,"€1752,08",30/01/2022
EV55TMCH8919184385596396,"€2584,51",18/08/2022
GE52XFEW2209056170643350,"€5863,26",20/12/2021
IB64RWDI3050423740546318,"€8189,41",04/04/2020
LG40BJYQ2783542351843180,"€467,62",04/10/2021
WB77IWTL7479335717337104,"€569,46",11/03/2020
VA37QMCG8437852428929762,"€4869,18",04/01/2021
ZA10QTHR7787100159561975,"€491,83",18/06/2020
LG40BJYQ2783542351843180,"€5074,19",21/03/2022
IA64AZRF0974124059119540,"€9307,95",22/07/2021
GE52XFEW2209056170643350,"€5207,93",16/02/2020
GE52XFEW2209056170643350,"€4389,75",15/07/2020
LH44PEZY4533729364383296,"€596,47",01/07/2021
WB77IWTL7479335717337104,"€3395,28",14/11/2020
UN01NSQD8758182264641524,"€414,07",27/11/2021
HY94UFSX0766276800103780,"€5017,91",24/04/2020
CR31CSLX2157111958475792,"€6710,32",04/05/2020
DE30ZEUF5582227351032491,"€2561,94",31/03/2022
WB77IWTL7479335717337104,"€4191,34",16/03/2020
EH78AMHE9066831125295114,"€3427,10",04/01/2021
JD37GEUH5940847826443166,"€5895,40",26/10/2021
AX41UZMB6176142035203942,"€127,82",24/11/2020
HX66TEDY9432557008721813,"€7830,53",11/11/2022
HY94UFSX0766276800103780,"€7405,00",09/11/2022
JR00QGBS4796525914237521,"€7576,98",16/10/2020
IB64RWDI3050423740546318,"€5055,84",19/06/2021
HX66TEDY9432557008721813,"€2373,42",06/06/2020
FW13CYSE4571296548592389,"€8230,07",26/11/2021
RO78OROD0594985604344531,"€2076,54",02/02/2020
XT25GEWA7881352979972952,"€2412,70",04/07/2021
IS66KDVL6727524589966948,"€5401,01",25/07/2020
ND29ASZK3936747590760083,"€8148,90",19/03/2022
WY43SADC8995874367768131,"€2055,60",11/02/2022
LP57GXIN3056172558480196,"€5652,57",17/11/2022
PE04NCIT8887865280077429,"€1971,41",25/02/2022
TJ01RJYX8915131919658516,"€1161,25",22/11/2020
RB96QOGG9814514798263406,"€6469,12",17/01/2020
BP29TPUJ6310621823872564,"€2380,41",15/06/2021
WG55EHPY8034430200816222,"€4534,34",20/07/2020
DE70AHRX6356064073233659,"€8315,31",25/02/2021
DC32IFVW1036082114231444,"€5826,37",11/06/2020
SQ68TMZF8698667528323620,"€5548,18",20/05/2022
TJ01RJYX8915131919658516,"€8293,77",07/08/2021
JD37GEUH5940847826443166,"€7153,28",04/09/2022
HY36LHZR3643502386939455,"€9766,19",27/12/2022
KC15SUGY3023429585614326,"€384,28",25/05/2020
MW63ZIOO0588568130697102,"€340,72",07/11/2020
WY43SADC8995874367768131,"€3845,08",17/02/2021
JD37GEUH5940847826443166,"€6278,50",04/01/2020
ZT15HFSW6569840988100756,"€711,74",05/02/2020
OC06NIHQ3445682540896305,"€1803,46",01/10/2021
XT25GEWA7881352979972952,"€9166,00",19/02/2022
GJ55FOHC5561545662515367,"€9056,83",07/08/2021
MU67FMKH9598284189685918,"€9982,32",29/08/2020
JL39VSWB6759168364148560,"€2967,70",30/12/2020
BP29TPUJ6310621823872564,"€2374,71",03/07/2021
MU67FMKH9598284189685918,"€5217,78",29/06/2021
CY23HMWJ3638338954966778,"€2431,73",08/03/2022
ZI40WWBF9188737626049510,"€1114,36",17/06/2022
DE30ZEUF5582227351032491,"€9381,17",06/06/2020
KC15SUGY3023429585614326,"€9203,63",02/06/2020
LQ72NGWI2810989838856681,"€3788,34",05/09/2021
EQ89KOZE1588776990762580,"€5392,80",23/08/2022
DE30ZEUF5582227351032491,"€9145,48",12/03/2020
